date,ExpediaWebScraper,ExpediaAppScraper
2021-05-25 07:00,,
2021-05-25 15:00,,
2021-05-25 23:00,,
2021-05-26 07:00,,
2021-05-26 15:00,,
2021-05-26 23:00,,
2021-05-27 07:00,,
2021-05-27 15:00,,
2021-05-27 23:00,,
2021-05-28 07:00,,
2021-05-28 15:00,,
2021-05-28 23:00,,
2021-05-29 07:00,,
2021-05-29 15:00,,
2021-05-29 23:00,,
2021-05-30 07:00,,
2021-05-30 15:00,,
2021-05-30 23:00,,
2021-05-31 07:00,,
2021-05-31 15:00,,
2021-05-31 23:00,,
2021-06-01 07:00,,
2021-06-01 15:00,,
2021-06-01 23:00,,
2021-06-02 07:00,,
2021-06-02 15:00,,
2021-06-02 23:00,,
2021-06-03 07:00,,
2021-06-03 15:00,,
2021-06-03 23:00,,
2021-06-04 07:00,,
2021-06-04 15:00,,
2021-06-04 23:00,,
2021-06-05 07:00,,
2021-06-05 15:00,,
2021-06-05 23:00,,
2021-06-06 07:00,,
2021-06-06 15:00,,
2021-06-06 23:00,,
2021-06-07 07:00,,
2021-06-07 15:00,,
2021-06-07 23:00,,
2021-06-08 07:00,,
2021-06-08 15:00,,
2021-06-08 23:00,,
2021-06-09 07:00,,
2021-06-09 15:00,,
2021-06-09 23:00,,
2021-06-10 07:00,,
2021-06-10 15:00,,
2021-06-10 23:00,,
2021-06-11 07:00,,
2021-06-11 15:00,,
2021-06-11 23:00,,
2021-06-12 07:00,,
2021-06-12 15:00,,
2021-06-12 23:00,183.0,
2021-06-13 07:00,,
2021-06-13 15:00,,
2021-06-13 23:00,,
2021-06-14 07:00,,
2021-06-14 15:00,,
2021-06-14 23:00,,
2021-06-15 07:00,,
2021-06-15 15:00,,
2021-06-15 23:00,,
2021-06-16 07:00,,
2021-06-16 15:00,,
2021-06-16 23:00,,
2021-06-17 07:00,,
2021-06-17 15:00,,
2021-06-17 23:00,,
2021-06-18 07:00,,
2021-06-18 15:00,,
2021-06-18 23:00,,
2021-06-19 07:00,,
2021-06-19 15:00,,
2021-06-19 23:00,,
2021-06-20 07:00,,
2021-06-20 15:00,,
2021-06-20 23:00,,
2021-06-21 07:00,,
2021-06-21 15:00,,
2021-06-21 23:00,,
2021-06-22 07:00,,
2021-06-22 15:00,,
2021-06-22 23:00,,
2021-06-23 07:00,,
2021-06-23 15:00,,
2021-06-23 23:00,,
2021-06-24 07:00,,
2021-06-24 15:00,,
2021-06-24 23:00,,
2021-06-25 07:00,,
2021-06-25 15:00,,
2021-06-25 23:00,,
2021-06-26 07:00,,
2021-06-26 15:00,,
2021-06-26 23:00,,
2021-06-27 07:00,,
2021-06-27 15:00,,
2021-06-27 23:00,,
2021-06-28 07:00,,
2021-06-28 15:00,,
2021-06-28 23:00,,
2021-06-29 07:00,,
2021-06-29 15:00,,
2021-06-29 23:00,,
2021-06-30 07:00,,
2021-06-30 15:00,,
2021-06-30 23:00,,
2021-07-01 07:00,,
2021-07-01 15:00,,
2021-07-01 23:00,,
2021-07-02 07:00,,
