date,OpodoWebScraper,OpodoAppScraper
2021-05-25 03:52,99.98,104.99
2021-05-25 11:52,101.98,100.99
2021-05-25 19:52,100.98,106.99
2021-05-26 03:52,108.98,104.99
2021-05-26 11:52,,
2021-05-26 19:52,,
2021-05-27 03:52,,
2021-05-27 11:52,120.98,124.99
2021-05-27 19:52,,
2021-05-28 03:52,,
2021-05-28 11:52,,
2021-05-28 19:52,101.98,108.99
2021-05-29 03:52,98.98,110.99
2021-05-29 11:52,100.98,110.99
2021-05-29 19:52,102.98,109.99
2021-05-30 03:52,100.98,108.99
2021-05-30 11:52,101.98,105.99
2021-05-30 19:52,124.98,117.99
2021-05-31 03:52,114.98,117.99
2021-05-31 11:53,124.98,124.99
2021-05-31 19:52,,121.99
2021-06-01 03:52,116.98,121.99
2021-06-01 11:52,113.98,124.99
2021-06-01 19:52,110.98,134.99
2021-06-02 03:52,119.98,124.99
2021-06-02 11:52,110.98,110.99
2021-06-02 19:52,116.98,118.99
2021-06-03 03:52,111.98,112.99
2021-06-03 11:52,115.98,122.99
2021-06-03 19:52,124.98,118.99
2021-06-04 03:52,115.98,124.99
2021-06-04 11:52,124.98,119.99
2021-06-04 19:52,118.98,118.99
2021-06-05 03:22,117.98,124.99
2021-06-05 11:22,114.98,124.99
2021-06-05 19:22,115.98,124.99
2021-06-06 03:22,,
2021-06-06 11:22,,
2021-06-06 19:22,,
2021-06-07 03:22,,
2021-06-07 11:22,,
2021-06-07 19:22,,
2021-06-08 03:22,,
2021-06-08 11:00,,
2021-06-08 19:00,,145.99
2021-06-09 03:00,147.98,149.99
2021-06-09 11:00,132.89,146.99
2021-06-09 19:00,150.98,150.99
2021-06-10 03:00,154.98,149.99
2021-06-10 11:00,144.98,145.99
2021-06-10 19:00,147.98,147.99
2021-06-11 03:00,149.98,150.99
2021-06-11 11:00,143.98,156.99
2021-06-11 19:00,150.98,148.99
2021-06-12 03:00,144.98,147.99
2021-06-12 11:00,126.98,137.99
2021-06-12 19:00,125.98,136.99
2021-06-13 03:00,125.98,133.99
2021-06-13 11:00,114.98,117.99
2021-06-13 19:00,114.98,115.99
2021-06-14 03:00,124.98,120.99
2021-06-14 11:00,120.98,119.99
2021-06-14 19:00,126.98,137.99
2021-06-15 03:00,114.98,124.99
2021-06-15 11:00,114.98,122.99
2021-06-15 19:00,131.98,131.99
2021-06-16 03:00,154.98,161.99
2021-06-16 11:00,167.98,148.99
2021-06-16 19:00,147.98,151.99
2021-06-17 03:00,145.98,146.99
2021-06-17 11:00,148.98,169.99
2021-06-17 19:00,179.98,193.99
2021-06-18 03:00,145.98,152.99
2021-06-18 11:00,143.98,165.99
2021-06-18 19:00,147.98,154.99
2021-06-19 03:00,147.98,148.99
2021-06-19 11:00,145.98,148.99
2021-06-19 19:00,146.98,158.99
2021-06-20 03:00,80.98,79.99
2021-06-20 11:00,80.98,83.99
2021-06-20 19:00,75.98,83.99
2021-06-21 03:00,88.98,91.99
2021-06-21 11:00,90.98,93.99
2021-06-21 19:00,92.98,91.99
2021-06-22 03:00,88.98,88.99
2021-06-22 11:00,89.98,90.99
2021-06-22 19:00,76.98,82.99
2021-06-23 03:00,73.98,76.99
2021-06-23 11:00,74.98,76.99
2021-06-23 19:00,78.98,81.99
2021-06-24 03:00,78.98,83.99
2021-06-24 11:00,113.98,124.99
2021-06-24 19:00,120.98,122.99
2021-06-25 03:00,124.98,124.99
2021-06-25 11:00,136.98,137.99
2021-06-25 19:00,129.98,127.99
2021-06-26 03:00,96.98,96.99
2021-06-26 11:00,94.98,95.99
2021-06-26 19:00,91.98,96.99
2021-06-27 03:00,90.98,92.99
2021-06-27 11:00,,
2021-06-27 19:00,91.98,96.99
2021-06-28 03:00,136.98,133.99
2021-06-28 11:00,132.98,136.99
2021-06-28 19:00,127.98,135.99
2021-06-29 03:00,96.98,91.99
2021-06-29 11:00,96.98,89.99
2021-06-29 19:00,88.98,96.99
2021-06-30 03:00,136.98,128.99
2021-06-30 11:00,124.98,127.99
2021-06-30 19:00,116.98,121.99
2021-07-01 03:00,,
2021-07-01 11:00,,
2021-07-01 19:00,,
2021-07-02 03:00,,
2021-07-02 11:00,,
