date,OpodoWebScraper,OpodoAppScraper
2021-05-25 03:52,465.98,472.99
2021-05-25 11:52,468.98,469.99
2021-05-25 19:52,467.98,474.99
2021-05-26 03:52,475.98,471.99
2021-05-26 11:52,,
2021-05-26 19:52,,
2021-05-27 03:52,,
2021-05-27 11:52,,
2021-05-27 19:52,,
2021-05-28 03:52,,
2021-05-28 11:52,,
2021-05-28 19:52,,
2021-05-29 03:52,,
2021-05-29 11:52,,
2021-05-29 19:52,,
2021-05-30 03:52,,
2021-05-30 11:52,,
2021-05-30 19:52,,
2021-05-31 03:52,,
2021-05-31 11:53,,
2021-05-31 19:52,,
2021-06-01 03:52,,
2021-06-01 11:52,,
2021-06-01 19:52,,
2021-06-02 03:52,,
2021-06-02 11:52,,
2021-06-02 19:52,,
2021-06-03 03:52,,
2021-06-03 11:52,,
2021-06-03 19:52,,
2021-06-04 03:52,,
2021-06-04 11:52,,
2021-06-04 19:52,,
2021-06-05 03:22,,
2021-06-05 11:22,,
2021-06-05 19:22,,
2021-06-06 03:22,,
2021-06-06 11:22,,
2021-06-06 00:00,,
2021-06-07 03:22,,
2021-06-07 11:22,,
2021-06-07 00:00,,
2021-06-08 03:22,,
2021-06-08 00:00,,
2021-06-08 19:00,,
2021-06-09 03:00,,
2021-06-09 11:00,,
2021-06-09 19:00,,
2021-06-10 03:00,,
2021-06-10 11:00,,
2021-06-10 19:00,,
2021-06-11 03:00,,
2021-06-11 11:00,,
2021-06-11 19:00,,
2021-06-12 03:00,,
2021-06-12 11:00,,
2021-06-12 19:00,,
2021-06-13 03:00,,
2021-06-13 11:00,,
2021-06-13 19:00,,
2021-06-14 03:00,,
2021-06-14 11:00,,
2021-06-14 19:00,,
2021-06-15 03:00,,
2021-06-15 11:00,,
2021-06-15 19:00,,
2021-06-16 03:00,,
2021-06-16 11:00,,
2021-06-16 19:00,,
2021-06-17 03:00,,
2021-06-17 11:00,,
2021-06-17 19:00,,
2021-06-18 03:00,,
2021-06-18 11:00,,
2021-06-18 19:00,,
2021-06-19 03:00,,
2021-06-19 11:00,,
2021-06-19 19:00,,
2021-06-20 03:00,,
2021-06-20 11:00,,
2021-06-20 19:00,,
2021-06-21 03:00,,
2021-06-21 11:00,,
2021-06-21 19:00,,
2021-06-22 03:00,,
2021-06-22 11:00,,
2021-06-22 19:00,,
2021-06-23 03:00,,
2021-06-23 11:00,,
2021-06-23 19:00,,
2021-06-24 03:00,,
2021-06-24 11:00,,
2021-06-24 19:00,,
2021-06-25 03:00,,
2021-06-25 11:00,,
2021-06-25 19:00,,
2021-06-26 03:00,,
2021-06-26 11:00,,
2021-06-26 19:00,,
2021-06-27 03:00,,
2021-06-27 11:00,,
2021-06-27 19:00,,
2021-06-28 03:00,,
2021-06-28 11:00,,
2021-06-28 19:00,,
2021-06-29 03:00,,
2021-06-29 11:00,,
2021-06-29 19:00,,
2021-06-30 03:00,,
2021-06-30 11:00,,
2021-06-30 19:00,,
2021-07-01 03:00,,
2021-07-01 11:00,,
2021-07-01 19:00,,
2021-07-02 03:00,,
2021-07-02 11:00,,
