date,ExpediaWebScraper,ExpediaWebScraper-france
2021-05-25 10:07,,
2021-05-25 18:07,,
2021-05-26 02:07,,
2021-05-26 10:07,,
2021-05-26 18:07,,
2021-05-27 02:07,,
2021-05-27 10:07,,
2021-05-27 18:07,,
2021-05-28 02:07,,
2021-05-28 10:07,,
2021-05-28 18:07,,
2021-05-29 02:07,,
2021-05-29 10:07,,
2021-05-29 18:07,,
2021-05-30 02:07,,
2021-05-30 10:07,,
2021-05-30 18:07,,
2021-05-31 02:07,,
2021-05-31 10:07,,
2021-05-31 18:07,,
2021-06-01 02:07,,
2021-06-01 10:07,,
2021-06-01 18:07,,
2021-06-02 02:07,,
2021-06-02 10:07,,
2021-06-02 18:07,,
2021-06-03 02:07,,
2021-06-03 10:07,,
2021-06-03 18:07,,
2021-06-04 01:07,,
2021-06-04 10:07,,
2021-06-04 18:07,,
2021-06-05 01:37,,
2021-06-05 09:37,,
2021-06-05 17:37,,
2021-06-06 01:37,,
2021-06-06 09:37,,
2021-06-06 17:37,,
2021-06-07 01:37,,
2021-06-07 09:37,,
2021-06-07 17:37,,
2021-06-08 01:37,,
2021-06-08 09:37,,
2021-06-08 17:15,,
2021-06-09 01:15,,
2021-06-09 09:15,,
2021-06-09 17:15,,
2021-06-10 01:15,,
2021-06-10 09:15,,
2021-06-10 17:15,,
2021-06-11 01:15,,
2021-06-11 09:15,,
2021-06-11 17:15,,
2021-06-12 01:15,,
2021-06-12 09:15,,
2021-06-12 17:15,,
2021-06-13 01:15,,
2021-06-13 09:15,,
2021-06-13 17:15,,
2021-06-14 01:15,,
2021-06-14 09:15,,
2021-06-14 17:15,,
2021-06-15 01:15,,
2021-06-15 09:15,,
2021-06-15 17:15,,
2021-06-16 01:15,,
2021-06-16 09:15,,
2021-06-16 17:15,,
2021-06-17 01:15,,
2021-06-17 09:15,,
2021-06-17 17:15,,
2021-06-18 01:15,,
2021-06-18 09:15,,
2021-06-18 17:15,,
2021-06-19 01:15,,
2021-06-19 09:15,,
2021-06-19 17:15,,
2021-06-20 01:15,,
2021-06-20 09:15,,
2021-06-20 17:15,,
2021-06-21 01:15,,
2021-06-21 09:15,,
2021-06-21 17:15,,
2021-06-22 01:15,,
2021-06-22 09:15,,
2021-06-22 17:15,,
2021-06-23 01:15,,
2021-06-23 09:15,,
2021-06-23 17:15,,
2021-06-24 01:15,,
2021-06-24 09:15,,
2021-06-24 17:15,,
2021-06-25 01:15,,
2021-06-25 09:15,,
2021-06-25 17:15,,
2021-06-26 01:15,,
2021-06-26 09:15,,
2021-06-26 17:15,,
2021-06-27 01:15,238.0,
2021-06-27 09:15,,
2021-06-27 17:15,238.0,
2021-06-28 01:15,,
2021-06-28 09:15,,
2021-06-28 17:15,,
2021-06-29 01:15,,
2021-06-29 09:15,,
2021-06-29 17:15,,
2021-06-30 01:15,,
2021-06-30 09:15,,
2021-06-30 17:15,,
2021-07-01 01:15,,
2021-07-01 09:15,,
2021-07-01 17:15,,
2021-07-02 01:15,,
2021-07-02 09:15,,
