date,AirFranceWebScraper,AirFranceWebScraper-france
2021-05-25 04:22,65.0,66.0
2021-05-25 12:22,65.0,66.0
2021-05-25 20:22,65.0,66.0
2021-05-26 04:22,65.0,66.0
2021-05-26 12:22,65.0,66.0
2021-05-26 20:22,65.0,66.0
2021-05-27 04:22,65.0,66.0
2021-05-27 12:22,65.0,66.0
2021-05-27 20:22,65.0,66.0
2021-05-28 04:22,65.0,66.0
2021-05-28 12:22,65.0,66.0
2021-05-28 20:22,65.0,66.0
2021-05-29 04:22,65.0,66.0
2021-05-29 12:22,65.0,66.0
2021-05-29 20:22,65.0,66.0
2021-05-30 04:22,65.0,66.0
2021-05-30 12:22,65.0,66.0
2021-05-30 20:22,65.0,66.0
2021-05-31 04:22,65.0,66.0
2021-05-31 12:22,,
2021-05-31 00:00,,
2021-06-01 04:22,,
2021-06-01 00:00,,
2021-06-01 20:22,,
2021-06-02 04:22,,
2021-06-02 12:22,,
2021-06-02 20:22,,
2021-06-03 04:22,,
2021-06-03 12:22,,
2021-06-03 00:00,,
2021-06-04 04:22,,
2021-06-04 12:22,,
2021-06-04 20:22,,
2021-06-05 03:52,,
2021-06-05 11:52,64.0,65.0
2021-06-05 19:52,64.0,65.0
2021-06-06 03:52,64.0,65.0
2021-06-06 11:52,64.0,65.0
2021-06-06 19:52,64.0,65.0
2021-06-07 03:52,64.0,65.0
2021-06-07 11:52,64.0,65.0
2021-06-07 19:52,64.0,65.0
2021-06-08 03:52,64.0,65.0
2021-06-08 11:52,64.0,65.0
2021-06-08 19:52,64.0,65.0
2021-06-09 03:52,64.0,65.0
2021-06-09 11:52,64.0,65.0
2021-06-09 19:52,64.0,65.0
2021-06-10 03:52,64.0,65.0
2021-06-10 11:52,64.0,65.0
2021-06-10 19:52,64.0,65.0
2021-06-11 03:52,64.0,65.0
2021-06-11 11:52,64.0,65.0
2021-06-11 19:52,64.0,65.0
2021-06-12 03:52,64.0,65.0
2021-06-12 11:52,64.0,65.0
2021-06-12 19:52,84.0,89.0
2021-06-13 03:52,84.0,89.0
2021-06-13 11:52,84.0,89.0
2021-06-13 19:52,84.0,89.0
2021-06-14 03:52,84.0,89.0
2021-06-14 11:52,84.0,89.0
2021-06-14 19:52,84.0,
2021-06-15 03:52,84.0,89.0
2021-06-15 11:52,95.0,100.0
2021-06-15 19:52,95.0,100.0
2021-06-16 03:52,95.0,100.0
2021-06-16 11:52,95.0,100.0
2021-06-16 19:52,,100.0
2021-06-17 03:52,95.0,100.0
2021-06-17 11:52,95.0,100.0
2021-06-17 19:52,95.0,100.0
2021-06-18 03:52,95.0,100.0
2021-06-18 11:52,95.0,100.0
2021-06-18 19:52,95.0,100.0
2021-06-19 03:52,95.0,
2021-06-19 11:52,95.0,100.0
2021-06-19 00:00,,
2021-06-20 03:52,95.0,100.0
2021-06-20 11:52,95.0,100.0
2021-06-20 19:52,95.0,100.0
2021-06-21 03:52,108.0,113.0
2021-06-21 11:52,108.0,113.0
2021-06-21 19:52,108.0,113.0
2021-06-22 03:52,108.0,113.0
2021-06-22 11:52,108.0,
2021-06-22 19:52,64.0,65.0
2021-06-23 03:52,64.0,65.0
2021-06-23 00:00,,
2021-06-23 00:00,,
2021-06-24 03:52,,
2021-06-24 11:52,,
2021-06-24 19:52,,
2021-06-25 03:52,,
2021-06-25 11:52,,
2021-06-25 19:52,,
2021-06-26 03:52,,
2021-06-26 11:52,,
2021-06-26 19:52,,
2021-06-27 03:52,,
2021-06-27 11:52,,
2021-06-27 19:52,,
2021-06-28 03:52,,
2021-06-28 00:00,,
2021-06-28 19:52,,
2021-06-29 03:52,,
2021-06-29 11:52,,
2021-06-29 19:52,,
2021-06-30 03:52,,
2021-06-30 11:52,,
2021-06-30 19:52,,
2021-07-01 03:52,,
2021-07-01 11:52,,
2021-07-01 19:52,,
2021-07-02 03:52,,
2021-07-02 11:52,,
