date,OpodoWebScraper,OpodoWebScraper-france
2021-05-25 03:22,100.98,119.66
2021-05-25 11:22,100.98,120.71
2021-05-25 19:22,104.98,122.87
2021-05-26 03:22,107.98,129.44
2021-05-26 11:22,104.98,124.1
2021-05-26 19:22,105.98,118.87
2021-05-27 03:22,115.98,136.37
2021-05-27 11:22,120.98,138.07
2021-05-27 19:22,109.98,119.15
2021-05-28 03:22,109.98,137.76
2021-05-28 11:22,109.98,112.08
2021-05-28 19:22,105.98,119.63
2021-05-29 03:22,105.98,118.09
2021-05-29 11:22,98.98,119.59
2021-05-29 19:22,107.98,119.63
2021-05-30 03:22,102.98,113.92
2021-05-30 11:22,100.98,112.93
2021-05-30 19:22,112.98,159.77
2021-05-31 03:22,117.98,128.03
2021-05-31 11:22,,
2021-05-31 19:22,,
2021-06-01 03:22,,
2021-06-01 11:22,,
2021-06-01 19:22,,
2021-06-02 03:22,,
2021-06-02 11:22,,
2021-06-02 19:22,,
2021-06-03 03:22,,
2021-06-03 11:22,,
2021-06-03 19:22,,
2021-06-04 03:22,,
2021-06-04 11:22,,
2021-06-04 19:22,,
2021-06-05 02:52,,
2021-06-05 10:52,113.98,136.23
2021-06-05 18:52,114.98,130.47
2021-06-06 02:52,115.98,139.63
2021-06-06 10:52,119.98,130.42
2021-06-06 18:52,124.98,136.52
2021-06-07 02:52,114.98,130.47
2021-06-07 10:52,117.98,137.22
2021-06-07 18:52,117.98,130.47
2021-06-08 02:52,124.98,152.32
2021-06-08 10:52,147.98,165.73
2021-06-08 18:30,150.98,165.81
2021-06-09 02:30,142.98,167.61
2021-06-09 10:30,149.98,166.14
2021-06-09 18:30,144.98,166.22
2021-06-10 02:30,149.98,166.22
2021-06-10 10:30,146.98,166.14
2021-06-10 18:30,156.98,166.22
2021-06-11 02:30,148.98,166.22
2021-06-11 10:30,147.98,166.14
2021-06-11 18:30,146.98,166.22
2021-06-12 02:30,149.98,166.22
2021-06-12 10:30,131.98,151.48
2021-06-12 18:30,129.98,151.56
2021-06-13 02:30,124.98,151.56
2021-06-13 10:30,120.98,130.86
2021-06-13 18:30,117.98,130.91
2021-06-14 02:30,124.98,130.91
2021-06-14 10:30,117.98,130.86
2021-06-14 18:30,126.98,151.58
2021-06-15 02:30,124.98,130.91
2021-06-15 10:30,124.98,130.86
2021-06-15 18:30,136.98,151.58
2021-06-16 02:30,143.98,191.71
2021-06-16 10:30,151.98,168.71
2021-06-16 18:30,146.98,168.78
2021-06-17 02:30,144.98,168.78
2021-06-17 10:30,147.98,168.66
2021-06-17 18:30,190.98,187.02
2021-06-18 02:30,148.98,168.74
2021-06-18 10:30,157.98,168.67
2021-06-18 18:30,148.98,168.75
2021-06-19 02:30,150.98,168.75
2021-06-19 10:30,149.98,168.67
2021-06-19 18:30,147.98,168.75
2021-06-20 02:30,79.98,118.36
2021-06-20 10:30,76.98,100.89
2021-06-20 18:30,75.98,100.96
2021-06-21 02:30,75.98,100.96
2021-06-21 10:30,87.98,110.6
2021-06-21 18:30,96.98,110.64
2021-06-22 02:30,96.98,110.64
2021-06-22 10:30,93.98,136.3
2021-06-22 18:30,78.98,101.16
2021-06-23 02:30,81.98,101.16
2021-06-23 10:30,82.98,101.12
2021-06-23 18:30,82.98,101.19
2021-06-24 02:30,82.98,101.19
2021-06-24 10:30,113.98,131.05
2021-06-24 18:30,116.98,131.1
2021-06-25 02:30,120.98,131.1
2021-06-25 10:30,131.98,151.79
2021-06-25 18:30,126.98,151.87
2021-06-26 02:30,92.98,110.87
2021-06-26 10:30,90.98,110.97
2021-06-26 18:30,88.98,111.02
2021-06-27 02:30,92.98,111.02
2021-06-27 10:30,87.98,111.1
2021-06-27 18:30,88.98,111.15
2021-06-28 02:30,125.98,152.14
2021-06-28 10:30,130.98,152.3
2021-06-28 18:30,136.98,152.29
2021-06-29 02:30,94.98,111.29
2021-06-29 10:30,93.98,103.43
2021-06-29 18:30,94.98,111.54
2021-06-30 02:30,131.98,145.23
2021-06-30 10:30,125.98,163.47
2021-06-30 18:30,124.98,131.99
2021-07-01 02:30,,
2021-07-01 10:30,,
2021-07-01 18:30,,
2021-07-02 02:30,,
2021-07-02 10:30,,
