date,OpodoWebScraper,OpodoWebScraper-france
2021-05-25 03:22,109.98,138.66
2021-05-25 11:22,109.98,128.87
2021-05-25 19:22,110.98,124.91
2021-05-26 03:22,113.98,128.3
2021-05-26 11:22,112.98,132.26
2021-05-26 19:22,113.98,127.03
2021-05-27 03:22,109.98,129.57
2021-05-27 11:22,115.98,131.27
2021-05-27 19:22,117.98,127.31
2021-05-28 03:22,117.98,138.66
2021-05-28 11:22,117.98,120.24
2021-05-28 19:22,143.98,187.46
2021-05-29 03:22,114.98,119.25
2021-05-29 11:22,107.98,138.59
2021-05-29 19:22,115.98,138.63
2021-05-30 03:22,111.98,122.08
2021-05-30 11:22,109.98,121.09
2021-05-30 19:22,138.98,192.94
2021-05-31 03:22,112.98,121.23
2021-05-31 11:22,,
2021-05-31 19:22,,
2021-06-01 03:22,,
2021-06-01 11:22,,
2021-06-01 19:22,,
2021-06-02 03:22,,
2021-06-02 11:22,,
2021-06-02 19:22,,
2021-06-03 03:22,,
2021-06-03 11:22,,
2021-06-03 19:22,,
2021-06-04 03:22,,
2021-06-04 11:22,,
2021-06-04 19:22,,
2021-06-05 02:52,,
2021-06-05 10:52,131.98,162.07
2021-06-05 18:52,133.98,170.14
2021-06-06 02:52,134.98,165.47
2021-06-06 10:52,138.98,170.06
2021-06-06 18:52,144.98,162.36
2021-06-07 02:52,133.98,170.14
2021-06-07 10:52,136.98,163.06
2021-06-07 18:52,136.98,170.14
2021-06-08 02:52,132.98,160.48
2021-06-08 10:52,136.98,170.06
2021-06-08 18:30,139.98,170.14
2021-06-09 02:30,131.98,150.65
2021-06-09 10:30,138.98,170.48
2021-06-09 18:30,132.98,170.25
2021-06-10 02:30,138.98,170.56
2021-06-10 10:30,136.98,170.48
2021-06-10 18:30,144.98,170.56
2021-06-11 02:30,137.98,170.56
2021-06-11 10:30,136.98,170.8
2021-06-11 18:30,135.98,171.02
2021-06-12 02:30,138.98,170.56
2021-06-12 10:30,138.98,170.48
2021-06-12 18:30,137.98,170.56
2021-06-13 02:30,131.98,170.56
2021-06-13 10:30,139.98,170.5
2021-06-13 18:30,136.98,170.58
2021-06-14 02:30,144.98,170.58
2021-06-14 10:30,182.98,205.48
2021-06-14 18:30,179.98,205.62
2021-06-15 02:30,191.98,205.62
2021-06-15 10:30,191.98,205.48
2021-06-15 18:30,191.98,205.62
2021-06-16 02:30,177.98,207.62
2021-06-16 10:30,185.98,207.48
2021-06-16 18:30,181.98,207.62
2021-06-17 02:30,196.98,265.69
2021-06-17 10:30,196.98,273.67
2021-06-17 18:30,196.98,207.57
2021-06-18 02:30,183.98,207.57
2021-06-18 10:30,191.98,207.44
2021-06-18 18:30,182.98,207.59
2021-06-19 02:30,184.98,207.59
2021-06-19 10:30,184.98,207.44
2021-06-19 18:30,181.98,207.59
2021-06-20 02:30,182.98,205.58
2021-06-20 10:30,180.98,205.02
2021-06-20 18:30,179.98,205.58
2021-06-21 02:30,179.98,205.58
2021-06-21 10:30,179.98,205.54
2021-06-21 18:30,191.98,205.68
2021-06-22 02:30,218.98,241.24
2021-06-22 10:30,241.98,295.31
2021-06-22 18:30,160.98,211.69
2021-06-23 02:30,240.98,287.52
2021-06-23 10:30,253.98,295.44
2021-06-23 18:30,218.98,241.37
2021-06-24 02:30,219.98,241.37
2021-06-24 10:30,253.98,282.57
2021-06-24 18:30,256.98,282.78
2021-06-25 02:30,290.98,329.33
2021-06-25 10:30,260.98,282.67
2021-06-25 18:30,254.98,282.88
2021-06-26 02:30,307.98,323.17
2021-06-26 10:30,316.98,370.65
2021-06-26 18:30,303.98,323.32
2021-06-27 02:30,309.98,324.49
2021-06-27 10:30,304.98,324.31
2021-06-27 18:30,316.98,370.89
2021-06-28 02:30,303.98,324.61
2021-06-28 10:30,340.98,372.04
2021-06-28 18:30,348.98,372.26
2021-06-29 02:30,342.98,372.26
2021-06-29 10:30,343.98,363.76
2021-06-29 18:30,344.98,372.38
2021-06-30 02:30,406.98,423.89
2021-06-30 10:30,406.98,432.02
2021-06-30 18:30,419.98,432.24
2021-07-01 02:30,403.98,431.39
2021-07-01 10:30,,
2021-07-01 18:30,,
2021-07-02 02:30,,
2021-07-02 10:30,,
