date,OpodoWebScraper,OpodoAppScraper
2021-05-25 04:07,70.98,71.99
2021-05-25 12:07,73.98,77.99
2021-05-25 20:07,77.98,77.99
2021-05-26 04:07,,
2021-05-26 12:07,,
2021-05-26 20:07,77.98,74.99
2021-05-27 04:07,76.98,77.99
2021-05-27 12:07,69.98,75.99
2021-05-27 20:07,,
2021-05-28 04:07,,
2021-05-28 12:07,,
2021-05-28 20:07,77.98,73.99
2021-05-29 04:07,72.98,77.99
2021-05-29 12:07,72.98,74.99
2021-05-29 20:07,77.98,77.99
2021-05-30 04:07,72.98,77.99
2021-05-30 12:07,77.98,77.99
2021-05-30 20:07,73.98,74.99
2021-05-31 04:07,75.98,77.99
2021-05-31 12:07,69.98,76.99
2021-05-31 20:07,77.98,77.99
2021-06-01 04:08,72.98,71.99
2021-06-01 12:07,74.98,76.99
2021-06-01 20:07,79.98,87.99
2021-06-02 04:07,85.98,87.99
2021-06-02 12:07,118.98,120.99
2021-06-02 20:07,79.98,81.99
2021-06-03 04:07,82.98,87.99
2021-06-03 12:07,77.98,74.99
2021-06-03 20:07,76.98,74.99
2021-06-04 04:08,69.98,70.99
2021-06-04 12:08,74.98,77.99
2021-06-04 20:07,70.98,77.99
2021-06-05 03:37,74.98,75.99
2021-06-05 11:38,77.98,76.99
2021-06-05 19:37,71.98,76.99
2021-06-06 03:37,,
2021-06-06 11:37,,
2021-06-06 00:00,,
2021-06-07 03:37,,
2021-06-07 00:00,,
2021-06-07 19:37,,
2021-06-08 03:37,,
2021-06-08 11:37,69.98,71.99
2021-06-08 19:15,75.98,77.99
2021-06-09 03:15,75.98,75.99
2021-06-09 11:15,74.98,77.99
2021-06-09 19:15,75.98,77.99
2021-06-10 03:15,75.98,77.99
2021-06-10 11:15,67.98,75.99
2021-06-10 19:15,70.98,74.99
2021-06-11 03:15,77.98,72.99
2021-06-11 11:15,73.98,71.99
2021-06-11 19:15,77.98,77.99
2021-06-12 03:15,67.98,77.99
2021-06-12 11:15,77.98,77.99
2021-06-12 19:15,69.98,77.99
2021-06-13 03:15,77.98,77.99
2021-06-13 11:15,67.98,73.99
2021-06-13 19:15,70.98,73.99
2021-06-14 03:15,67.98,76.99
2021-06-14 11:15,77.98,74.99
2021-06-14 19:15,70.98,77.99
2021-06-15 03:15,70.98,77.99
2021-06-15 11:15,72.98,73.99
2021-06-15 19:15,70.98,82.99
2021-06-16 03:15,82.98,78.99
2021-06-16 11:15,106.98,106.99
2021-06-16 19:15,106.98,106.99
2021-06-17 03:15,68.98,69.99
2021-06-17 11:15,106.98,118.99
2021-06-17 19:15,68.98,75.99
2021-06-18 03:15,106.98,120.99
2021-06-18 11:15,82.98,76.99
2021-06-18 19:15,74.98,70.99
2021-06-19 03:15,82.98,92.99
2021-06-19 11:15,79.98,80.99
2021-06-19 19:15,86.98,89.99
2021-06-20 03:15,74.98,77.99
2021-06-20 11:15,77.98,70.99
2021-06-20 19:15,106.98,106.99
2021-06-21 03:15,73.98,77.99
2021-06-21 11:15,69.98,77.99
2021-06-21 19:15,74.98,70.99
2021-06-22 03:15,68.98,69.99
2021-06-22 11:15,106.98,106.99
2021-06-22 19:15,70.98,77.99
2021-06-23 03:15,74.98,72.99
2021-06-23 11:15,116.98,109.99
2021-06-23 19:15,112.98,109.99
2021-06-24 03:15,136.98,142.99
2021-06-24 11:15,111.98,108.99
2021-06-24 19:15,107.98,114.99
2021-06-25 03:15,105.98,112.99
2021-06-25 11:15,106.98,108.99
2021-06-25 19:15,114.98,117.99
2021-06-26 03:15,108.98,114.99
2021-06-26 11:15,110.98,109.99
2021-06-26 19:15,109.98,116.99
2021-06-27 03:15,111.98,110.99
2021-06-27 11:15,,
2021-06-27 19:15,117.98,117.99
2021-06-28 03:15,111.98,118.99
2021-06-28 11:15,116.98,118.99
2021-06-28 19:15,113.98,118.99
2021-06-29 03:15,106.98,118.99
2021-06-29 11:15,117.98,109.99
2021-06-29 19:15,111.98,118.99
2021-06-30 03:15,106.98,117.99
2021-06-30 11:15,106.98,116.99
2021-06-30 19:15,113.98,113.99
2021-07-01 03:15,111.98,108.99
2021-07-01 11:15,110.98,110.99
2021-07-01 19:15,106.98,110.99
2021-07-02 03:15,113.98,108.99
2021-07-02 11:15,110.98,110.99
