date,ExpediaWebScraper,ExpediaWebScraper-france
2021-05-25 04:37,500.0,500.0
2021-05-25 12:37,271.0,
2021-05-25 20:37,271.0,271.0
2021-05-26 04:37,238.0,
2021-05-26 12:37,238.0,238.0
2021-05-26 20:37,,
2021-05-27 04:37,271.0,271.0
2021-05-27 12:37,311.0,311.0
2021-05-27 20:37,311.0,311.0
2021-05-28 04:37,238.0,238.0
2021-05-28 12:37,,
2021-05-28 20:37,238.0,238.0
2021-05-29 04:37,238.0,238.0
2021-05-29 12:37,,
2021-05-29 20:37,,
2021-05-30 04:37,212.0,212.0
2021-05-30 12:37,212.0,212.0
2021-05-30 20:37,212.0,212.0
2021-05-31 04:37,212.0,212.0
2021-05-31 12:37,,
2021-05-31 20:37,,
2021-06-01 04:37,,
2021-06-01 12:37,,
2021-06-01 20:37,,
2021-06-02 04:37,,
2021-06-02 12:37,,
2021-06-02 20:37,,
2021-06-03 04:37,,
2021-06-03 12:37,,
2021-06-03 20:37,,
2021-06-04 04:37,,
2021-06-04 12:37,,
2021-06-04 20:37,,
2021-06-05 04:07,,
2021-06-05 12:07,271.0,271.0
2021-06-05 20:07,271.0,271.0
2021-06-06 04:07,271.0,271.0
2021-06-06 12:07,271.0,271.0
2021-06-06 20:07,,271.0
2021-06-07 04:07,271.0,271.0
2021-06-07 12:07,271.0,271.0
2021-06-07 20:07,271.0,271.0
2021-06-08 04:07,271.0,271.0
2021-06-08 12:07,238.0,238.0
2021-06-08 20:07,238.0,
2021-06-09 04:07,212.0,212.0
2021-06-09 12:07,212.0,212.0
2021-06-09 20:07,212.0,212.0
2021-06-10 04:07,212.0,212.0
2021-06-10 12:07,,
2021-06-10 20:07,212.0,212.0
2021-06-11 04:07,212.0,212.0
2021-06-11 12:07,,
2021-06-11 20:07,,
2021-06-12 04:07,212.0,212.0
2021-06-12 12:07,212.0,212.0
2021-06-12 20:07,212.0,212.0
2021-06-13 04:07,212.0,212.0
2021-06-13 12:07,212.0,212.0
2021-06-13 20:07,212.0,212.0
2021-06-14 04:07,212.0,212.0
2021-06-14 12:07,238.0,238.0
2021-06-14 20:07,238.0,238.0
2021-06-15 04:07,212.0,212.0
2021-06-15 12:07,212.0,212.0
2021-06-15 20:07,212.0,212.0
2021-06-16 04:07,212.0,212.0
2021-06-16 12:07,212.0,212.0
2021-06-16 20:07,,
2021-06-17 04:07,238.0,238.0
2021-06-17 12:07,238.0,238.0
2021-06-17 20:07,238.0,238.0
2021-06-18 04:07,238.0,238.0
2021-06-18 12:07,,
2021-06-18 20:07,,
2021-06-19 04:07,311.0,311.0
2021-06-19 12:07,311.0,311.0
2021-06-19 20:07,271.0,271.0
2021-06-20 04:07,311.0,311.0
2021-06-20 12:07,311.0,311.0
2021-06-20 20:07,311.0,311.0
2021-06-21 04:07,311.0,311.0
2021-06-21 12:07,311.0,311.0
2021-06-21 20:07,311.0,311.0
2021-06-22 04:07,311.0,311.0
2021-06-22 12:07,311.0,311.0
2021-06-22 20:07,311.0,
2021-06-23 04:07,311.0,311.0
2021-06-23 12:07,311.0,311.0
2021-06-23 20:07,358.0,358.0
2021-06-24 04:07,418.0,418.0
2021-06-24 12:07,500.0,500.0
2021-06-24 20:07,500.0,500.0
2021-06-25 04:07,,
2021-06-25 12:07,418.0,418.0
2021-06-25 20:07,418.0,418.0
2021-06-26 04:07,311.0,311.0
2021-06-26 12:07,311.0,311.0
2021-06-26 20:07,,
2021-06-27 04:07,311.0,311.0
2021-06-27 12:07,311.0,311.0
2021-06-27 20:07,311.0,311.0
2021-06-28 04:07,418.0,418.0
2021-06-28 12:07,418.0,418.0
2021-06-28 20:07,418.0,418.0
2021-06-29 04:07,500.0,500.0
2021-06-29 12:07,588.0,588.0
2021-06-29 20:07,588.0,588.0
2021-06-30 04:07,588.0,588.0
2021-06-30 12:07,588.0,588.0
2021-06-30 20:07,588.0,588.0
2021-07-01 04:07,588.0,588.0
2021-07-01 12:07,,
2021-07-01 20:07,588.0,588.0
2021-07-02 04:07,588.0,588.0
2021-07-02 12:07,500.0,500.0
