date,KayakWebScraper,KayakMobileBrowserScraper
2021-05-25 00:45,,
2021-05-25 08:45,,
2021-05-25 16:45,,
2021-05-26 00:45,,
2021-05-26 00:00,,
2021-05-26 16:45,,
2021-05-27 00:45,,
2021-05-27 08:45,,
2021-05-27 16:45,,
2021-05-28 00:45,,
2021-05-28 08:45,,
2021-05-28 16:45,,
2021-05-29 00:45,,
2021-05-29 08:45,,
2021-05-29 16:45,,
2021-05-30 00:45,,
2021-05-30 08:45,,
2021-05-30 16:45,,
2021-05-31 00:45,,
2021-05-31 00:00,,
2021-05-31 16:45,,
2021-06-01 00:45,,
2021-06-01 00:00,,
2021-06-01 16:45,,
2021-06-02 00:45,,
2021-06-02 08:45,,
2021-06-02 16:45,,
2021-06-03 00:45,,
2021-06-03 00:00,,
2021-06-03 16:45,,
2021-06-04 00:45,,
2021-06-04 08:45,,
2021-06-04 00:00,,
2021-06-05 00:30,,
2021-06-05 08:30,,
2021-06-05 16:30,,
2021-06-06 00:30,,
2021-06-06 08:30,,
2021-06-06 16:30,,
2021-06-07 00:30,,
2021-06-07 08:30,,
2021-06-07 16:30,,
2021-06-08 08:30,,
2021-06-08 11:32,112.0,
2021-06-08 21:29,103.0,103.0
2021-06-09 03:30,112.0,103.0
2021-06-09 11:30,111.0,
2021-06-09 19:30,,
2021-06-10 03:30,,
2021-06-10 11:30,,
2021-06-10 19:30,,
2021-06-11 03:30,,
2021-06-11 00:00,,
2021-06-11 19:30,,
2021-06-12 03:30,,
2021-06-12 11:30,,
2021-06-12 19:30,,
2021-06-13 03:30,,
2021-06-13 11:30,111.0,103.0
2021-06-13 19:30,103.0,103.0
2021-06-14 03:30,111.0,103.0
2021-06-14 11:30,111.0,103.0
2021-06-14 19:30,103.0,103.0
2021-06-15 03:30,87.0,83.0
2021-06-15 11:30,90.0,83.0
2021-06-15 19:30,90.0,86.0
2021-06-16 03:30,83.0,87.0
2021-06-16 11:30,111.0,103.0
2021-06-16 19:30,92.0,103.0
2021-06-17 03:30,111.0,103.0
2021-06-17 11:30,99.0,91.0
2021-06-17 19:30,92.0,92.0
2021-06-18 03:30,94.0,94.0
2021-06-18 11:30,97.0,100.0
2021-06-18 19:30,98.0,103.0
2021-06-19 03:30,103.0,103.0
2021-06-19 11:30,103.0,88.0
2021-06-19 19:30,98.0,103.0
2021-06-20 03:30,114.0,110.0
2021-06-20 11:30,112.0,
2021-06-20 19:30,107.0,107.0
2021-06-21 03:30,107.0,107.0
2021-06-21 11:30,113.0,110.0
2021-06-21 19:30,111.0,110.0
2021-06-22 03:30,84.0,84.0
2021-06-22 11:30,85.0,86.0
2021-06-22 19:30,90.0,86.0
2021-06-23 03:30,83.0,86.0
2021-06-23 11:30,84.0,84.0
2021-06-23 19:30,90.0,86.0
2021-06-24 03:30,90.0,83.0
2021-06-24 11:30,90.0,86.0
2021-06-24 19:30,90.0,86.0
2021-06-25 03:30,83.0,86.0
2021-06-25 11:30,90.0,86.0
2021-06-25 19:30,83.0,83.0
2021-06-26 03:30,85.0,83.0
2021-06-26 11:30,83.0,83.0
2021-06-26 19:30,88.0,86.0
2021-06-27 03:30,92.0,92.0
2021-06-27 11:30,,
2021-06-27 19:30,85.0,85.0
2021-06-28 03:30,83.0,83.0
2021-06-28 11:30,83.0,83.0
2021-06-28 19:30,89.0,86.0
2021-06-29 03:30,90.0,86.0
2021-06-29 11:30,102.0,102.0
2021-06-29 19:30,102.0,102.0
2021-06-30 03:30,102.0,102.0
2021-06-30 11:30,103.0,103.0
2021-06-30 19:30,104.0,104.0
2021-07-01 03:30,91.0,91.0
2021-07-01 11:30,92.0,88.0
2021-07-01 19:30,92.0,88.0
2021-07-02 03:30,92.0,88.0
2021-07-02 11:30,106.0,88.0
2021-07-02 15:30,105.0,105.0
2021-07-03 07:30,106.0,106.0
2021-07-03 15:30,106.0,106.0
2021-07-03 23:30,108.0,112.0
2021-07-04 07:30,105.0,105.0
2021-07-04 15:30,106.0,106.0
2021-07-04 23:30,109.0,109.0
