date,KayakWebScraper,KayakAppScraper
2021-05-25 06:00,,
2021-05-25 14:00,873.0,
2021-05-25 22:00,,
2021-05-26 06:00,,
2021-05-26 14:00,,
2021-05-26 22:00,,
2021-05-27 06:00,,
2021-05-27 14:00,,
2021-05-27 22:00,,
2021-05-28 06:00,,
2021-05-28 14:00,,
2021-05-28 22:00,873.0,
2021-05-29 06:00,,
2021-05-29 14:00,637.0,
2021-05-29 22:00,873.0,
2021-05-30 06:00,,
2021-05-30 14:00,856.0,
2021-05-30 22:00,637.0,
2021-05-31 06:00,637.0,
2021-05-31 14:00,,
2021-05-31 22:00,773.0,
2021-06-01 06:00,653.0,
2021-06-01 14:00,,
2021-06-01 22:00,653.0,
2021-06-02 06:00,898.0,
2021-06-02 14:00,663.0,
2021-06-02 22:00,530.0,
2021-06-03 06:00,663.0,
2021-06-03 14:00,480.0,
2021-06-03 22:00,563.0,
2021-06-04 06:00,480.0,
2021-06-04 14:00,,
2021-06-04 22:00,,
2021-06-05 06:00,,
2021-06-05 14:00,873.0,
2021-06-05 22:00,,
2021-06-06 06:00,,
2021-06-06 14:00,,
2021-06-06 22:00,,
2021-06-07 06:00,,
2021-06-07 14:00,,
2021-06-07 22:00,,
2021-06-08 06:00,,
2021-06-08 14:00,,
2021-06-08 22:00,518.0,
2021-06-09 06:00,,
2021-06-09 14:00,,
2021-06-09 22:00,,
2021-06-10 06:00,,
2021-06-10 14:00,409.0,
2021-06-10 22:00,,
2021-06-11 06:00,409.0,
2021-06-11 14:00,518.0,
2021-06-11 22:00,748.0,
2021-06-12 06:00,518.0,
2021-06-12 14:00,748.0,
2021-06-12 22:00,748.0,
2021-06-13 06:00,518.0,
2021-06-13 14:00,435.0,
2021-06-13 22:00,748.0,
2021-06-14 06:00,518.0,
2021-06-14 14:00,518.0,
2021-06-14 22:00,518.0,
2021-06-15 06:00,435.0,
2021-06-15 14:00,873.0,
2021-06-15 22:00,873.0,
2021-06-16 06:00,518.0,
2021-06-16 14:00,409.0,
2021-06-16 22:00,518.0,
2021-06-17 06:00,,
2021-06-17 14:00,409.0,
2021-06-17 22:00,518.0,
2021-06-18 06:00,557.0,
2021-06-18 14:00,557.0,
2021-06-18 22:00,557.0,
2021-06-19 06:00,557.0,
2021-06-19 14:00,748.0,
2021-06-19 22:00,748.0,
2021-06-20 06:00,748.0,
2021-06-20 14:00,518.0,
2021-06-20 22:00,518.0,
2021-06-21 06:00,,
2021-06-21 14:00,409.0,
2021-06-21 22:00,518.0,
2021-06-22 06:00,518.0,
2021-06-22 14:00,518.0,
2021-06-22 22:00,409.0,
2021-06-23 06:00,,
2021-06-23 14:00,388.0,
2021-06-23 22:00,,
2021-06-24 06:00,388.0,
2021-06-24 14:00,,
2021-06-24 22:00,388.0,
2021-06-25 06:00,,
2021-06-25 14:00,521.0,
2021-06-25 22:00,533.0,
2021-06-26 06:00,521.0,
2021-06-26 14:00,422.0,
2021-06-26 22:00,533.0,
2021-06-27 06:00,388.0,
2021-06-27 14:00,,
2021-06-27 22:00,388.0,
2021-06-28 06:00,386.0,
2021-06-28 14:00,386.0,
2021-06-28 22:00,401.0,
2021-06-29 06:00,386.0,
2021-06-29 14:00,344.0,
2021-06-29 22:00,,
2021-06-30 06:00,344.0,
2021-06-30 14:00,344.0,
2021-06-30 22:00,344.0,
2021-07-01 06:00,,
2021-07-01 14:00,,
2021-07-01 22:00,628.0,
2021-07-02 06:00,384.0,
2021-07-02 15:52,,
2021-07-02 23:52,344.0,
2021-07-03 07:52,,
2021-07-03 15:52,628.0,
2021-07-03 23:52,344.0,
2021-07-04 07:52,385.0,
2021-07-04 15:52,385.0,
2021-07-04 23:52,353.0,
