date,OpodoWebScraper,OpodoAppScraper
2021-05-25 06:30,144.98,145.99
2021-05-25 14:30,144.98,
2021-05-25 22:30,121.98,127.99
2021-05-26 06:30,119.98,120.99
2021-05-26 14:30,149.98,144.99
2021-05-26 22:30,,
2021-05-27 06:30,,
2021-05-27 14:30,,
2021-05-27 22:30,,
2021-05-28 06:30,,
2021-05-28 14:30,155.98,143.99
2021-05-28 22:30,115.98,126.99
2021-05-29 06:30,95.98,96.99
2021-05-29 14:30,88.98,95.99
2021-05-29 22:30,97.98,100.99
2021-05-30 06:30,97.98,100.99
2021-05-30 14:30,111.98,105.99
2021-05-30 22:30,97.98,102.99
2021-05-31 06:30,92.98,103.99
2021-05-31 14:30,95.98,100.99
2021-05-31 22:30,114.98,105.99
2021-06-01 06:30,92.98,92.99
2021-06-01 14:30,94.98,104.99
2021-06-01 22:30,95.98,105.99
2021-06-02 06:30,102.98,107.99
2021-06-02 14:30,95.98,97.99
2021-06-02 22:30,154.98,147.99
2021-06-03 06:30,143.98,149.99
2021-06-03 14:30,142.98,143.99
2021-06-03 22:30,157.98,148.99
2021-06-04 06:30,158.98,146.99
2021-06-04 14:30,139.98,159.99
2021-06-04 22:30,146.98,143.99
2021-06-05 06:30,142.98,159.99
2021-06-05 14:30,,
2021-06-05 22:30,,
2021-06-06 06:30,,
2021-06-06 14:30,,
2021-06-06 22:30,,
2021-06-07 06:30,,
2021-06-07 14:30,,
2021-06-07 22:30,,
2021-06-08 06:30,,
2021-06-08 14:30,197.98,198.99
2021-06-08 22:30,164.98,169.99
2021-06-09 06:30,159.98,170.99
2021-06-09 14:30,135.98,143.99
2021-06-09 22:30,152.98,143.99
2021-06-10 06:30,152.98,143.99
2021-06-10 14:30,125.98,137.99
2021-06-10 22:30,121.98,134.99
2021-06-11 06:30,121.98,126.99
2021-06-11 14:30,139.98,145.99
2021-06-11 22:30,141.98,145.99
2021-06-12 06:30,147.98,146.99
2021-06-12 14:30,140.98,139.99
2021-06-12 22:30,134.98,147.99
2021-06-13 06:30,135.98,147.99
2021-06-13 14:30,173.98,163.99
2021-06-13 22:30,170.98,165.99
2021-06-14 06:30,160.98,167.99
2021-06-14 14:30,163.98,167.99
2021-06-14 22:30,158.98,168.99
2021-06-15 06:30,159.98,163.99
2021-06-15 14:30,161.98,170.99
2021-06-15 22:30,,
2021-06-16 06:30,158.98,179.99
2021-06-16 14:30,159.98,169.99
2021-06-16 22:30,163.98,171.99
2021-06-17 06:30,157.98,164.99
2021-06-17 14:30,136.98,141.99
2021-06-17 22:30,141.98,143.99
2021-06-18 06:30,134.98,148.99
2021-06-18 14:30,136.98,145.99
2021-06-18 22:30,138.98,139.99
2021-06-19 06:30,138.98,144.99
2021-06-19 14:30,143.98,139.99
2021-06-19 22:30,138.98,140.99
2021-06-20 06:30,136.98,138.99
2021-06-20 14:30,138.98,143.99
2021-06-20 22:30,138.98,139.99
2021-06-21 06:30,152.98,139.99
2021-06-21 14:30,136.98,141.99
2021-06-21 22:30,135.98,147.99
2021-06-22 06:30,141.98,146.99
2021-06-22 14:30,152.98,137.99
2021-06-22 22:30,137.98,139.99
2021-06-23 06:30,134.98,138.99
2021-06-23 14:30,140.98,143.99
2021-06-23 22:30,,
2021-06-24 06:30,148.98,143.99
2021-06-24 14:30,126.98,138.99
2021-06-24 22:30,122.98,134.99
2021-06-25 06:30,121.98,126.99
2021-06-25 14:30,129.98,126.99
2021-06-25 22:30,123.98,132.99
2021-06-26 06:30,123.98,131.99
2021-06-26 14:30,124.98,135.99
2021-06-26 22:30,123.98,134.99
2021-06-27 06:30,121.98,139.99
2021-06-27 14:32,,133.99
2021-06-27 22:30,125.98,132.99
2021-06-28 06:30,144.98,163.99
2021-06-28 14:30,177.98,180.99
2021-06-28 22:30,150.98,156.99
2021-06-29 06:30,150.98,153.99
2021-06-29 14:30,151.98,149.99
2021-06-29 22:30,127.98,136.99
2021-06-30 06:30,,
2021-06-30 14:30,129.98,126.99
2021-06-30 22:30,127.98,139.99
2021-07-01 06:30,139.98,139.99
2021-07-01 14:30,128.98,139.99
2021-07-01 22:30,125.98,135.99
2021-07-02 06:30,128.98,125.99
