date,OpodoWebScraper,OpodoAppScraper
2021-05-25 06:30,117.98,117.99
2021-05-25 14:30,118.98,115.99
2021-05-25 22:30,119.98,124.99
2021-05-26 06:30,117.98,117.99
2021-05-26 14:30,122.98,118.99
2021-05-26 22:30,,
2021-05-27 06:30,,
2021-05-27 14:30,,
2021-05-27 22:30,,
2021-05-28 06:30,,
2021-05-28 14:30,167.98,144.99
2021-05-28 22:30,116.98,125.99
2021-05-29 06:30,119.98,120.99
2021-05-29 14:30,112.98,119.99
2021-05-29 22:30,116.98,118.99
2021-05-30 06:30,116.98,119.99
2021-05-30 14:30,124.98,124.99
2021-05-30 22:30,116.98,121.99
2021-05-31 06:30,111.98,122.99
2021-05-31 14:30,114.98,119.99
2021-05-31 22:30,124.98,118.99
2021-06-01 06:30,116.98,116.99
2021-06-01 14:30,119.98,125.99
2021-06-01 22:30,114.98,124.99
2021-06-02 06:30,124.98,125.99
2021-06-02 14:30,117.98,118.99
2021-06-02 22:30,124.98,122.99
2021-06-03 06:30,118.98,124.99
2021-06-03 14:30,116.98,116.99
2021-06-03 22:30,151.98,146.99
2021-06-04 06:30,151.98,144.99
2021-06-04 14:30,138.98,151.99
2021-06-04 22:30,144.98,141.99
2021-06-05 06:30,141.98,151.99
2021-06-05 14:30,149.98,150.99
2021-06-05 22:30,,
2021-06-06 06:30,,
2021-06-06 14:30,,
2021-06-06 22:30,,
2021-06-07 06:30,,
2021-06-07 14:30,,
2021-06-07 22:30,,
2021-06-08 06:30,,
2021-06-08 14:30,162.98,163.99
2021-06-08 22:30,144.98,149.99
2021-06-09 06:30,139.98,150.99
2021-06-09 14:30,138.98,146.99
2021-06-09 22:30,151.98,146.99
2021-06-10 06:30,151.98,146.99
2021-06-10 14:30,143.98,151.99
2021-06-10 22:30,139.98,151.99
2021-06-11 06:30,139.98,143.99
2021-06-11 14:30,143.98,148.99
2021-06-11 22:30,144.98,148.99
2021-06-12 06:30,151.98,148.99
2021-06-12 14:30,143.98,142.99
2021-06-12 22:30,138.98,149.99
2021-06-13 06:30,139.98,150.99
2021-06-13 14:30,151.98,142.99
2021-06-13 22:30,150.98,144.99
2021-06-14 06:30,140.98,146.99
2021-06-14 14:30,143.98,147.99
2021-06-14 22:30,137.98,147.99
2021-06-15 06:30,114.98,118.99
2021-06-15 14:30,116.98,125.99
2021-06-15 22:30,118.98,122.99
2021-06-16 06:30,139.98,156.99
2021-06-16 14:30,140.98,149.99
2021-06-16 22:30,144.98,150.99
2021-06-17 06:30,101.98,101.99
2021-06-17 14:30,101.98,101.99
2021-06-17 22:30,101.98,146.99
2021-06-18 06:30,101.98,107.99
2021-06-18 14:30,139.98,148.99
2021-06-18 22:30,142.98,142.99
2021-06-19 06:30,101.98,146.99
2021-06-19 14:30,146.98,142.99
2021-06-19 22:30,141.98,101.99
2021-06-20 06:30,139.98,101.99
2021-06-20 14:30,101.98,102.99
2021-06-20 22:30,141.98,142.99
2021-06-21 06:30,151.98,142.99
2021-06-21 14:30,139.98,144.99
2021-06-21 22:30,139.98,150.99
2021-06-22 06:30,119.98,124.99
2021-06-22 14:30,124.98,115.99
2021-06-22 22:30,115.98,117.99
2021-06-23 06:30,112.98,115.99
2021-06-23 14:30,118.98,121.99
2021-06-23 22:30,115.98,120.99
2021-06-24 06:30,124.98,121.99
2021-06-24 14:30,117.98,125.99
2021-06-24 22:30,113.98,124.99
2021-06-25 06:30,112.98,116.99
2021-06-25 14:30,120.98,116.99
2021-06-25 22:30,114.98,122.99
2021-06-26 06:30,114.98,121.99
2021-06-26 14:30,115.98,125.99
2021-06-26 22:30,114.98,124.99
2021-06-27 06:30,112.98,125.99
2021-06-27 14:32,,123.99
2021-06-27 22:30,115.98,122.99
2021-06-28 06:30,112.98,125.99
2021-06-28 14:30,146.98,147.99
2021-06-28 22:30,118.98,124.99
2021-06-29 06:30,143.98,146.99
2021-06-29 14:30,145.98,142.99
2021-06-29 22:30,142.97,150.99
2021-06-30 06:30,142.98,150.99
2021-06-30 14:30,144.98,141.99
2021-06-30 22:30,142.98,151.99
2021-07-01 06:30,127.98,127.99
2021-07-01 14:30,120.98,127.99
2021-07-01 22:30,118.98,127.99
2021-07-02 06:30,145.98,143.99
