date,OpodoWebScraper,OpodoAppScraper
2021-05-25 06:30,,
2021-05-25 14:30,,
2021-05-25 22:30,,
2021-05-26 06:30,,
2021-05-26 14:30,,
2021-05-26 22:30,,
2021-05-27 06:30,,
2021-05-27 14:30,,
2021-05-27 22:30,,
2021-05-28 06:30,,
2021-05-28 14:30,,
2021-05-28 22:30,,
2021-05-29 06:30,,
2021-05-29 14:30,,118.99
2021-05-29 22:30,,
2021-05-30 06:30,,
2021-05-30 14:30,,
2021-05-30 22:30,,
2021-05-31 06:30,,
2021-05-31 14:30,,
2021-05-31 22:30,,
2021-06-01 06:30,,
2021-06-01 14:30,,
2021-06-01 22:30,,
2021-06-02 06:30,,
2021-06-02 14:30,,
2021-06-02 22:30,,
2021-06-03 06:30,,
2021-06-03 14:30,,
2021-06-03 22:30,,159.99
2021-06-04 06:30,,
2021-06-04 14:30,,170.99
2021-06-04 22:30,,
2021-06-05 06:30,,170.99
2021-06-05 14:30,,
2021-06-05 22:30,,
2021-06-06 06:30,,
2021-06-06 14:30,,
2021-06-06 22:30,,
2021-06-07 06:30,,
2021-06-07 14:30,,
2021-06-07 22:30,,
2021-06-08 06:30,,
2021-06-08 14:30,,
2021-06-08 22:30,,173.99
2021-06-09 06:30,,
2021-06-09 14:30,,
2021-06-09 22:30,,
2021-06-10 06:30,,
2021-06-10 14:30,,
2021-06-10 22:30,,
2021-06-11 06:30,,
2021-06-11 14:30,,
2021-06-11 22:30,,
2021-06-12 06:30,,
2021-06-12 14:30,,
2021-06-12 22:30,,
2021-06-13 06:30,,
2021-06-13 14:30,,
2021-06-13 22:30,,168.99
2021-06-14 06:30,,170.99
2021-06-14 14:30,,
2021-06-14 22:30,,
2021-06-15 06:30,,
2021-06-15 14:30,,173.99
2021-06-15 22:30,,
2021-06-16 06:30,,182.99
2021-06-16 14:30,,173.99
2021-06-16 22:30,,
2021-06-17 06:30,,167.99
2021-06-17 14:30,,167.99
2021-06-17 22:30,,
2021-06-18 06:30,,174.99
2021-06-18 14:30,,
2021-06-18 22:30,,
2021-06-19 06:30,,
2021-06-19 14:30,,
2021-06-19 22:30,,166.99
2021-06-20 06:30,,165.99
2021-06-20 14:30,,169.99
2021-06-20 22:30,,
2021-06-21 06:30,,
2021-06-21 14:30,,
2021-06-21 22:30,,
2021-06-22 06:30,,
2021-06-22 14:30,,
2021-06-22 22:30,,
2021-06-23 06:30,,
2021-06-23 14:30,,
2021-06-23 22:30,,
2021-06-24 06:30,,
2021-06-24 14:30,,
2021-06-24 22:30,,
2021-06-25 06:30,,
2021-06-25 14:30,,
2021-06-25 22:30,,
2021-06-26 06:30,,
2021-06-26 14:30,,
2021-06-26 22:30,,
2021-06-27 06:30,,
2021-06-27 14:32,,
2021-06-27 22:30,,
2021-06-28 06:30,,
2021-06-28 14:30,,
2021-06-28 22:30,,164.99
2021-06-29 06:30,,161.99
2021-06-29 14:30,,
2021-06-29 22:30,,
2021-06-30 06:30,,
2021-06-30 14:30,,
2021-06-30 22:30,,
2021-07-01 06:30,,
2021-07-01 14:30,,
2021-07-01 22:30,,
2021-07-02 06:30,,
